ID	NAME	COL-1	COL-2	COL-3	COL-4	COL-5	COL-6	COL-7	COL-8	COL-9	COL-10	COL-11	COL-12	COL-13	COL-14	COL-15	COL-16	COL-17
33	R-33	179	110	139	110	110	69	110	69	69	0	110	110	110	69	69	69	69
34	R-34	448	397	441	420	463	385	444	429	399	507	456	453	417	441	467	441	461
35	R-35	408	353	314	309	340	304	343	343	340	350	353	347	326	318	318	300	350
36	R-36	385	374	333	340	389	343	403	397	389	433	389	374	358	366	383	374	358
37	R-37	248	220	195	208	264	220	264	256	248	240	220	220	256	230	240	220	208
38	R-38	350	333	350	326	353	300	340	358	333	353	318	340	343	314	333	326	340
39	R-39	230	195	195	195	230	195	208	240	230	230	208	195	208	195	208	179	208
40	R-40	353	337	343	309	294	294	340	333	340	385	364	383	350	374	404	350	414
41	R-41	271	277	283	248	256	256	256	277	277	271	271	271	271	240	264	240	264
42	R-42	304	304	294	256	283	289	300	300	283	300	277	289	283	264	277	264	283
43	R-43	337	271	277	240	283	248	264	264	277	277	294	314	289	277	283	271	289
44	R-44	220	161	161	161	179	161	161	195	195	139	161	161	179	139	179	161	139
45	R-45	347	309	333	356	385	340	374	350	330	326	347	353	347	326	333	309	309
46	R-46	256	139	161	161	139	139	139	139	139	161	139	161	161	139	110	69	161
47	R-47	256	161	161	195	220	179	179	208	195	208	179	208	208	161	179	139	208
48	R-48	110	110	110	110	110	110	161	161	161	110	139	139	179	110	110	69	139
49	R-49	294	369	383	330	350	340	376	358	333	326	304	318	314	314	343	309	330
50	R-50	304	179	195	208	208	220	256	240	256	264	256	264	289	240	264	264	271
51	R-51	240	230	208	161	161	139	110	110	110	69	69	69	110	110	0	69	0
52	R-52	195	139	139	110	139	139	161	110	139	0	110	139	161	110	110	139	110
53	R-53	161	69	69	69	69	69	69	69	69	69	0	69	69	69	69	0	0
54	R-54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	R-55	69	0	0	139	179	139	69	0	0	0	0	0	0	0	0	0	0
56	R-56	283	277	294	294	304	256	271	289	277	300	277	283	277	271	289	248	264
57	R-57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	R-58	179	208	240	208	161	195	195	179	195	110	195	208	230	139	179	161	139
59	R-59	208	256	350	283	220	208	208	179	220	264	304	304	300	264	220	179	208
60	R-60	179	264	333	283	230	208	208	179	220	220	277	271	304	230	208	139	179
61	R-61	409	381	417	385	447	374	430	401	374	450	423	409	381	404	443	404	475
62	R-62	395	343	356	358	374	322	371	366	340	314	371	356	361	385	389	347	430
63	R-63	240	208	240	230	256	208	240	230	230	195	208	230	248	195	208	161	195
64	R-64	300	283	322	330	340	300	318	309	283	264	264	283	294	277	289	271	289
65	R-65	220	179	161	195	195	195	289	347	343	230	248	230	220	161	220	240	277
66	R-66	179	110	110	139	139	69	110	161	139	110	139	139	139	69	110	69	110
67	R-67	240	208	248	240	248	208	248	240	220	304	256	264	248	240	256	208	240
68	R-68	220	195	195	195	179	179	220	195	195	139	161	161	195	179	195	139	139
69	R-69	179	139	139	110	161	110	139	110	110	69	110	110	139	69	69	69	69
70	R-70	69	0	110	110	161	110	139	110	110	110	69	110	69	69	69	69	0
71	R-71	195	139	139	139	139	110	195	179	179	110	161	161	195	139	161	110	139
72	R-72	69	69	110	69	139	139	110	139	110	69	69	110	69	0	0	0	69
73	R-73	240	220	230	195	195	195	220	161	195	161	161	179	195	179	195	139	139
74	R-74	110	0	69	0	69	69	110	0	110	69	110	139	69	69	69	0	69
75	R-75	110	0	69	0	69	69	110	110	110	0	69	69	110	69	69	69	69
76	R-76	179	110	179	139	179	161	195	179	161	161	208	220	208	179	161	110	161
77	R-77	139	69	139	139	110	69	139	110	110	69	161	139	179	110	110	69	69
78	R-78	139	110	110	110	110	69	110	110	110	69	110	69	110	69	110	0	69
79	R-79	139	139	69	110	69	69	110	110	69	0	0	69	69	0	69	0	69
80	R-80	264	371	378	347	340	300	389	419	409	474	437	425	403	414	450	428	454
81	R-81	139	161	208	161	161	161	208	179	179	161	139	179	179	110	195	110	179
82	R-82	208	230	283	240	208	230	264	230	230	271	230	240	248	240	256	220	256
83	R-83	391	389	411	366	369	353	389	369	358	385	358	361	353	366	378	347	383
84	R-84	248	294	399	438	451	364	366	358	322	314	403	447	436	426	411	399	353
85	R-85	343	314	409	426	455	366	401	376	347	350	403	430	409	413	443	397	369
86	R-86	289	343	326	294	350	326	347	347	333	277	289	289	326	304	304	283	300
87	R-87	326	340	314	289	289	264	277	283	283	240	248	256	277	264	277	277	277
88	R-88	304	309	289	289	330	283	309	326	309	289	304	318	314	318	322	300	326
89	R-89	139	139	161	110	139	139	110	161	139	69	110	110	139	69	110	69	69
90	R-90	110	139	208	208	195	220	230	195	195	110	139	161	220	139	161	139	110
91	R-91	110	139	195	139	110	139	110	139	139	110	139	161	161	110	69	110	69
92	R-92	294	304	264	271	309	283	304	294	289	240	264	271	289	277	277	271	256
93	R-93	304	240	256	283	309	277	256	271	283	264	283	289	294	264	256	248	271
94	R-94	283	240	248	256	277	248	264	277	264	230	248	256	264	240	240	220	256
95	R-95	322	326	347	330	337	300	333	326	309	277	277	294	314	289	314	264	283
96	R-96	110	179	195	139	110	139	179	230	240	161	179	161	161	110	139	161	179
97	R-97	314	364	383	330	347	343	378	353	343	340	326	326	337	356	333	322	333
98	R-98	220	139	161	161	195	179	195	208	195	110	161	195	208	179	161	161	161
99	R-99	381	337	333	343	389	353	374	366	347	326	330	347	350	337	364	333	340
100	R-100	441	403	453	411	476	393	441	428	401	535	461	467	403	447	465	406	469
101	R-101	314	318	333	314	350	309	347	340	322	330	304	337	322	333	353	309	350
102	R-102	350	318	343	337	361	337	366	361	356	404	369	369	364	347	391	356	383
103	R-103	0	0	110	139	110	110	69	69	69	0	69	110	161	69	0	0	0
104	R-104	230	248	230	256	322	300	322	304	277	220	230	264	289	283	294	271	256
105	R-105	195	220	264	230	240	264	230	230	208	161	208	208	240	179	179	179	161
106	R-106	179	256	309	220	195	195	179	139	161	220	264	240	220	195	161	139	139
107	R-107	289	326	340	289	300	314	356	330	326	318	309	314	314	326	330	304	330
108	R-108	139	0	69	110	195	179	179	161	179	0	139	161	179	139	139	110	139
109	R-109	364	304	309	309	381	337	356	340	340	364	378	385	356	364	356	340	376
110	R-110	378	366	397	378	411	366	406	393	374	364	366	371	371	371	387	358	364
111	R-111	350	289	330	340	326	304	350	318	326	304	326	330	347	318	353	289	304
112	R-112	381	337	340	322	371	340	369	361	358	371	364	369	353	337	364	343	369
113	R-113	358	326	294	314	343	314	353	353	353	314	309	322	353	322	343	322	330
114	R-114	230	161	110	161	208	195	220	240	240	220	240	248	283	264	294	300	294
115	R-115	220	240	289	248	248	248	240	230	230	195	240	230	248	220	208	208	179
116	R-116	264	240	179	110	69	139	161	110	139	69	110	69	110	110	110	69	69
117	R-117	240	208	161	69	69	110	139	110	110	0	69	69	110	110	110	110	69
118	R-118	343	256	289	277	333	294	322	326	322	318	333	343	318	304	304	300	340
119	R-119	179	139	139	195	240	230	248	240	220	139	161	208	240	208	220	195	195
120	R-120	240	195	195	248	264	256	294	248	248	195	208	230	271	256	289	240	195
121	R-121	361	389	381	369	395	366	393	374	353	314	322	337	337	318	340	304	322
122	R-122	283	271	277	289	309	289	330	318	309	283	283	300	326	283	309	271	294
123	R-123	330	326	330	314	326	294	330	337	318	294	294	304	314	289	309	294	304
124	R-124	220	264	300	240	240	283	289	271	277	277	283	283	283	289	256	240	289
125	R-125	314	271	318	309	309	289	333	294	314	304	326	326	322	309	330	300	294
126	R-126	110	69	161	208	248	220	195	139	161	0	139	195	220	179	161	139	139
127	R-127	374	309	283	240	256	230	230	240	256	230	271	277	271	240	230	220	264
128	R-128	139	69	69	69	69	0	0	0	0	0	0	0	0	0	0	0	0
129	R-129	69	0	0	0	69	69	69	69	69	0	0	0	0	0	0	0	0
130	R-130	289	289	309	289	289	277	304	300	289	300	277	289	289	271	283	220	289
131	R-131	139	69	0	69	139	139	139	139	69	0	0	69	110	0	69	0	0
132	R-132	333	353	333	294	314	309	343	318	314	300	283	277	294	304	337	309	264
133	R-133	465	484	520	473	512	458	506	480	453	563	525	507	467	514	527	514	523
134	R-134	139	69	110	69	110	69	110	69	110	0	110	69	110	69	69	69	69
135	R-135	326	330	337	347	404	358	383	383	364	356	374	376	361	361	371	356	383
136	R-136	326	289	326	330	374	314	369	343	340	371	358	364	340	364	393	343	366
137	R-137	289	110	69	161	161	161	195	195	220	220	240	256	256	230	248	179	248
138	R-138	208	195	195	208	271	256	256	271	248	195	208	230	248	195	195	139	195
139	R-139	161	69	69	110	139	139	139	161	139	69	110	161	179	110	110	69	161
140	R-140	309	347	333	326	350	330	333	337	318	318	309	314	322	304	322	314	294
141	R-141	353	369	364	356	358	350	364	381	364	300	333	337	369	350	371	358	364
142	R-142	161	179	161	179	161	179	179	195	195	139	161	139	179	139	161	161	139
143	R-143	264	309	340	300	283	264	333	289	264	389	337	309	256	294	337	283	318
144	R-144	195	195	139	139	195	161	161	161	161	139	139	161	161	139	139	110	139
145	R-145	179	69	139	110	139	139	161	139	179	69	161	161	179	161	161	139	139
146	R-146	326	264	264	248	283	283	304	300	309	304	318	333	309	300	322	271	333
147	R-147	471	465	478	452	498	423	485	458	434	548	496	488	444	492	515	489	502
148	R-148	369	391	369	347	376	347	369	374	353	333	343	350	350	343	343	326	364
149	R-149	139	69	69	110	161	161	161	161	161	110	139	161	161	110	139	69	161
150	R-150	161	161	139	161	179	161	195	179	161	110	139	139	195	161	161	139	139
151	R-151	0	69	69	69	110	110	110	110	69	0	69	69	110	110	69	0	69
152	R-152	264	161	161	179	195	195	195	208	208	230	220	208	208	179	179	139	208
153	R-153	381	322	333	340	353	309	358	333	330	264	340	322	340	347	326	309	350
154	R-154	139	110	69	139	139	110	139	139	161	0	139	139	195	139	139	110	69
155	R-155	179	264	179	230	195	220	248	195	179	69	110	110	179	179	161	139	69
156	R-156	208	248	264	220	208	220	240	240	240	208	256	240	248	230	220	208	230
157	R-157	309	220	326	277	326	264	304	294	300	337	340	353	314	294	289	230	337
158	R-158	347	289	358	330	337	294	322	326	330	358	356	353	343	326	333	300	343
159	R-159	264	139	161	179	195	161	161	161	179	161	195	195	195	110	139	110	161
160	R-160	240	208	220	230	230	220	220	220	220	179	179	195	230	179	195	139	208
161	R-161	240	161	110	161	161	179	195	179	208	179	208	220	230	179	208	161	195
162	R-162	300	277	271	283	271	264	309	277	277	240	248	256	271	240	289	248	256
163	R-163	277	230	195	256	277	248	294	300	271	230	230	240	248	220	256	248	277
164	R-164	161	139	69	69	69	69	69	69	69	0	69	69	110	0	0	0	0
165	R-165	374	406	444	411	429	401	436	406	385	460	441	436	403	436	466	442	441
166	R-166	448	462	503	487	503	447	493	454	426	471	492	489	465	519	537	524	474
167	R-167	347	356	395	371	395	366	411	366	369	395	376	374	383	378	401	364	366
168	R-168	395	340	358	364	381	337	374	361	343	318	378	364	369	389	387	356	430
169	R-169	69	139	69	69	69	110	69	110	69	69	0	0	69	69	69	69	0
170	R-170	195	139	161	139	195	208	230	195	220	110	179	179	208	179	195	179	179
171	R-171	277	161	240	208	240	208	256	220	230	208	248	256	220	230	240	179	264
172	R-172	230	179	277	264	283	264	294	256	248	240	271	289	271	220	240	179	240
173	R-173	322	248	220	230	248	230	240	256	256	230	248	256	264	220	240	195	248
174	R-174	417	374	408	399	409	364	399	381	381	395	399	399	393	383	408	369	408
175	R-175	277	208	179	179	179	179	161	195	208	195	220	240	248	179	179	161	195
176	R-176	110	110	110	139	110	139	139	139	139	110	110	139	195	139	139	110	110
177	R-177	300	314	283	294	300	283	340	314	326	289	300	289	333	300	322	318	289
178	R-178	419	443	469	442	462	425	473	439	425	506	475	461	441	469	501	488	462
179	R-179	69	179	161	110	110	110	110	110	110	69	69	69	69	69	69	69	69
180	R-180	361	371	369	356	404	371	404	378	371	369	374	374	366	383	389	374	385
181	R-181	343	277	330	318	364	326	366	343	340	347	364	378	350	358	361	356	381
182	R-182	326	248	300	318	337	318	343	337	326	248	314	326	337	283	304	271	309
183	R-183	195	110	69	110	139	161	139	161	179	139	161	179	195	139	161	110	161
184	R-184	139	110	139	161	161	220	283	289	294	179	195	161	208	179	240	230	208
185	R-185	248	220	139	110	110	139	139	139	161	139	139	161	179	179	179	179	139
186	R-186	271	208	256	208	179	161	161	161	161	110	161	179	220	208	208	195	208
187	R-187	425	409	426	419	456	383	438	419	393	474	438	430	403	434	453	428	432
188	R-188	264	220	220	240	256	220	179	208	208	161	179	179	179	161	161	161	161
189	R-189	69	0	0	69	69	0	0	0	0	0	0	0	0	0	0	0	0
190	R-190	356	277	220	240	248	240	240	271	300	318	318	326	314	289	300	277	350
191	R-191	322	264	161	139	161	161	179	230	256	248	277	277	271	220	240	208	271
192	R-192	350	309	248	179	139	110	195	314	340	343	330	289	264	195	230	264	314
193	R-193	208	264	240	220	230	240	256	264	248	220	208	220	240	179	240	195	208
194	R-194	179	110	69	69	69	110	139	139	139	139	161	179	208	110	161	110	161
195	R-195	195	69	179	179	208	195	195	208	208	139	161	195	208	161	179	139	179
196	R-196	264	277	256	264	277	248	283	271	271	220	230	248	264	248	256	248	230
197	R-197	240	195	161	179	195	195	230	220	220	161	161	179	208	139	179	139	139
198	R-198	139	110	0	69	69	110	139	139	139	0	69	69	139	69	69	0	0
199	R-199	139	110	0	69	110	110	110	139	110	0	69	110	139	69	69	0	69
200	R-200	294	283	256	289	318	283	314	318	314	289	277	271	271	240	289	256	277
201	R-201	428	419	378	353	304	289	277	304	318	277	277	256	248	230	264	271	333
202	R-202	230	289	358	309	230	230	179	161	208	230	248	271	248	195	195	161	179
203	R-203	330	385	411	326	330	326	289	248	304	383	406	371	337	318	300	294	333
204	R-204	283	220	195	110	69	69	0	0	69	0	69	69	69	69	0	69	69
205	R-205	361	369	423	383	404	358	366	343	343	353	395	403	371	343	337	318	326
206	R-206	289	256	240	240	277	256	271	289	277	230	240	256	264	220	248	220	256
207	R-207	240	195	179	195	220	195	208	195	179	161	139	161	161	161	179	161	139
208	R-208	322	343	361	366	385	353	387	383	358	326	371	369	378	369	399	361	366
209	R-209	322	378	356	356	404	364	391	397	369	387	374	369	364	366	378	343	369
210	R-210	179	195	161	195	208	220	208	220	220	161	195	195	230	179	179	208	161
211	R-211	441	462	466	436	451	429	456	437	419	443	443	430	430	436	464	463	444
212	R-212	220	220	230	240	248	264	240	240	289	347	343	300	289	283	283	314	340
213	R-213	428	413	447	428	463	399	445	428	409	500	453	453	422	444	466	436	454
214	R-214	294	289	314	309	337	300	326	314	309	256	283	294	314	289	300	264	264
215	R-215	256	179	179	240	264	230	220	220	208	161	161	195	195	161	161	139	161
216	R-216	289	289	343	333	322	304	322	318	314	271	309	322	318	271	283	264	264
217	R-217	330	366	430	408	371	333	309	289	289	374	414	413	383	340	337	283	318
218	R-218	230	283	358	337	289	256	230	220	220	294	343	347	322	264	256	179	230
219	R-219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220	R-220	347	385	369	283	271	333	417	416	391	417	374	330	304	350	411	425	403
221	R-221	333	426	461	426	399	369	426	425	420	478	449	428	422	441	483	474	460
222	R-222	248	208	208	230	271	240	264	294	271	256	240	240	240	240	240	208	230
223	R-223	347	289	277	300	304	289	340	314	322	294	318	330	330	300	337	289	309
224	R-224	248	220	220	208	161	161	179	179	208	139	139	161	195	139	161	110	139
225	R-225	220	208	208	195	179	195	139	195	208	161	179	195	195	110	161	139	179
226	R-226	300	289	248	277	271	264	283	300	283	240	264	264	264	240	294	264	277
227	R-227	69	110	69	69	69	110	161	161	139	69	110	69	139	69	110	69	110
228	R-228	220	208	195	195	179	179	139	139	139	69	69	69	110	69	110	161	69
229	R-229	383	413	449	417	420	401	444	409	397	448	428	414	408	445	467	451	425
230	R-230	220	139	195	179	195	161	179	179	195	139	179	179	195	161	161	139	161
231	R-231	208	110	110	139	161	139	161	161	161	110	139	161	179	139	110	69	139
232	R-232	406	376	387	391	411	371	403	395	383	408	397	403	385	374	406	374	391
233	R-233	248	179	208	240	195	208	220	230	240	179	208	230	256	195	220	195	208
234	R-234	389	358	358	353	358	343	374	374	364	391	383	385	361	358	391	353	416
235	R-235	230	240	248	264	314	289	264	294	264	230	256	277	283	248	240	220	240
236	R-236	69	69	110	110	110	110	110	110	110	110	110	139	139	110	139	69	110
237	R-237	208	179	110	69	110	110	110	161	161	0	69	69	110	0	69	0	69
238	R-238	161	110	0	0	0	0	0	0	69	0	0	0	0	0	69	0	0
239	R-239	425	455	479	436	475	429	469	444	416	534	477	454	425	470	504	497	483
240	R-240	304	195	220	230	283	256	271	256	277	283	304	322	294	289	289	240	309
241	R-241	391	376	391	393	428	374	409	393	383	393	391	397	383	378	395	374	383
242	R-242	330	277	264	277	309	289	314	304	318	314	318	330	318	304	330	264	340
243	R-243	208	139	161	208	256	240	240	248	230	208	195	220	240	208	220	179	208
244	R-244	0	0	0	69	0	0	69	69	69	0	0	69	69	0	69	0	0
245	R-245	314	208	179	220	240	230	220	240	264	230	277	277	283	220	240	230	256
246	R-246	333	356	343	340	374	326	366	381	358	383	364	366	350	347	378	350	371
247	R-247	208	110	161	195	248	248	256	248	248	139	208	220	256	220	230	195	208
248	R-248	318	264	256	240	230	230	248	248	256	240	230	248	264	220	271	208	248
249	R-249	161	139	110	139	161	220	256	283	277	161	161	161	208	195	230	240	230
250	R-250	179	69	69	69	69	161	195	208	208	161	179	179	208	139	179	195	195
251	R-251	220	248	240	208	179	240	256	220	248	248	240	208	230	179	220	208	208
252	R-252	294	333	347	304	300	314	340	326	326	309	294	294	314	318	333	318	289
253	R-253	403	385	419	409	436	387	434	413	401	413	414	419	404	419	429	397	420
254	R-254	208	139	179	208	208	179	195	195	195	195	230	264	271	240	256	240	264
255	R-255	139	69	69	110	110	110	139	139	139	69	110	110	161	110	139	110	179
256	R-256	110	0	69	69	139	139	139	110	110	0	69	110	139	139	110	110	139
257	R-257	256	161	220	220	256	230	264	248	248	208	220	248	230	220	230	179	264
258	R-258	391	371	387	387	409	364	404	393	387	385	383	391	381	376	411	371	399
259	R-259	264	264	220	240	277	248	240	256	248	208	208	220	230	195	220	195	220
260	R-260	161	161	179	208	230	220	195	195	161	139	139	179	208	161	161	110	110
261	R-261	208	195	139	139	110	139	69	179	240	208	220	179	195	69	110	139	195
262	R-262	294	326	256	271	309	337	340	322	343	387	404	374	347	330	330	322	364
263	R-263	304	340	369	333	314	333	353	326	314	304	337	326	322	300	309	309	277
264	R-264	69	110	179	161	110	161	161	110	110	110	161	161	179	139	139	110	69
265	R-265	330	347	417	416	449	395	432	406	393	425	432	444	417	432	426	403	409
266	R-266	445	439	449	444	474	414	461	442	434	473	454	464	433	445	480	450	463
267	R-267	322	294	309	304	304	294	322	322	309	304	309	314	300	283	314	277	309
268	R-268	110	69	69	69	0	69	69	69	69	69	0	69	110	0	69	69	0
269	R-269	271	195	139	110	110	139	110	110	110	110	110	110	139	139	139	139	139
270	R-270	333	300	330	333	343	314	330	322	326	309	330	340	333	300	318	283	300
271	R-271	326	300	283	294	333	304	326	318	309	283	271	294	309	289	304	294	304
272	R-272	408	378	358	369	397	361	389	391	381	381	383	383	376	371	371	374	389
273	R-273	110	0	0	69	0	69	69	110	110	0	69	69	110	69	69	0	69
274	R-274	179	161	161	161	0	139	139	161	179	110	139	161	179	110	139	139	139
275	R-275	69	0	0	69	69	0	69	0	69	0	0	0	69	69	69	0	0
276	R-276	454	411	461	436	492	406	455	438	413	535	475	472	425	457	484	441	492
277	R-277	208	110	69	161	179	139	161	161	139	69	110	139	161	110	110	69	110
278	R-278	256	69	69	139	139	139	69	139	195	161	220	220	240	208	220	220	248
279	R-279	179	110	69	139	139	110	69	69	69	0	0	69	110	0	0	0	0
280	R-280	337	361	409	393	391	376	406	374	361	358	366	374	378	369	391	376	374
281	R-281	304	314	304	289	304	283	314	304	300	271	304	300	304	294	304	304	300
282	R-282	371	399	426	385	411	369	414	401	374	509	438	423	376	430	454	420	453
283	R-283	0	69	0	69	0	0	0	69	69	0	69	69	69	0	69	0	0
284	R-284	374	409	429	395	437	378	439	399	378	500	441	428	389	426	473	456	403
285	R-285	248	195	230	208	220	195	220	220	220	195	208	230	220	161	195	139	208
286	R-286	401	383	385	389	411	371	425	403	393	409	417	416	401	406	436	409	411
287	R-287	195	161	139	161	179	195	139	195	195	139	139	161	208	161	161	139	161
288	R-288	208	220	195	208	256	230	230	240	230	208	208	230	230	220	220	208	208
289	R-289	240	248	195	179	179	208	240	283	277	220	240	220	220	161	208	208	240
290	R-290	256	208	179	195	161	161	195	195	220	139	195	179	208	139	195	179	195
291	R-291	161	240	195	161	139	179	248	300	304	264	256	208	208	179	240	277	264
292	R-292	248	300	309	283	220	277	304	277	283	230	283	277	304	283	300	300	264
293	R-293	393	414	429	408	404	381	416	385	385	401	416	401	401	437	447	441	404
294	R-294	283	220	179	161	208	230	230	264	289	277	304	314	300	283	264	264	300
295	R-295	343	322	322	337	322	318	343	337	337	283	304	318	333	304	330	294	314
296	R-296	179	195	161	179	208	161	110	161	139	179	179	161	179	161	161	161	161
297	R-297	248	161	110	161	139	139	110	139	179	161	179	179	179	139	161	161	139
298	R-298	179	179	161	179	139	195	195	195	208	110	161	161	208	161	195	179	139
299	R-299	304	358	337	318	333	356	376	369	364	378	369	356	358	369	385	409	378
300	R-300	230	208	195	230	208	179	220	220	220	179	179	208	240	179	220	195	195
301	R-301	110	69	0	0	69	69	0	69	69	69	0	69	69	69	0	69	0
302	R-302	110	161	110	110	69	139	139	139	139	69	69	69	110	69	110	110	69
303	R-303	161	195	139	139	110	161	139	139	179	139	161	139	179	110	139	161	110
304	R-304	369	300	304	294	314	289	289	264	283	309	289	309	283	294	277	271	283
305	R-305	230	195	220	179	179	179	179	195	208	195	208	208	195	179	179	139	220
306	R-306	139	110	195	161	195	139	161	161	161	161	161	161	161	139	139	69	139
307	R-307	110	110	69	69	69	110	0	139	139	110	69	110	110	0	69	69	110
308	R-308	256	283	195	240	300	289	283	304	271	179	220	230	240	208	208	208	208
309	R-309	69	0	0	69	0	0	0	0	0	0	0	0	69	0	0	0	0
310	R-310	139	110	179	195	179	179	195	161	161	110	161	195	220	195	179	161	69
311	R-311	220	139	161	179	179	161	179	179	195	195	208	230	230	195	220	161	230
312	R-312	240	220	248	240	277	248	248	256	256	248	256	271	256	220	208	195	240
313	R-313	139	69	0	69	69	0	0	69	0	0	0	0	0	0	0	0	0
314	R-314	318	264	271	294	326	309	322	318	309	248	277	300	294	283	294	264	314
315	R-315	283	220	208	240	240	240	248	248	256	208	230	248	248	208	248	195	256
316	R-316	326	309	294	300	322	322	330	333	322	314	318	326	309	314	337	294	353
317	R-317	300	326	309	314	322	300	330	337	326	330	318	309	309	309	318	271	322
318	R-318	179	277	256	230	208	256	264	256	264	139	195	195	256	220	230	208	195
319	R-319	289	371	356	318	314	330	347	340	309	248	271	264	300	283	294	304	264
320	R-320	300	350	326	277	277	322	330	309	309	333	330	326	304	322	337	337	347
321	R-321	314	179	195	240	271	248	256	248	256	240	248	271	256	240	240	230	264
322	R-322	220	139	161	161	179	179	161	161	179	139	139	161	161	139	139	110	139
323	R-323	179	110	110	139	139	161	139	161	161	139	139	179	161	110	139	69	161
324	R-324	195	208	248	240	248	208	195	208	179	195	230	240	230	179	179	139	161
325	R-325	208	195	161	179	208	256	220	256	240	179	195	195	256	220	195	230	230
326	R-326	397	378	404	406	438	393	432	413	404	414	414	422	411	406	422	404	408
327	R-327	161	69	0	69	110	110	69	69	69	69	0	69	69	0	69	0	69
328	R-328	264	256	195	220	220	179	110	161	161	110	110	110	161	110	110	110	69
329	R-329	230	179	161	208	283	248	208	220	195	161	208	179	208	208	195	161	179
330	R-330	309	322	289	322	314	300	330	322	322	271	309	314	318	300	337	309	314
331	R-331	220	240	179	161	161	161	110	161	139	69	110	110	139	139	139	110	69
332	R-332	220	240	220	220	208	230	230	220	208	139	179	195	220	195	220	230	179
333	R-333	139	69	69	110	139	139	139	139	139	69	110	110	139	110	110	69	139
334	R-334	0	110	110	139	110	69	69	0	0	0	69	69	69	69	0	0	0
335	R-335	69	69	110	179	161	110	110	139	161	69	69	110	110	69	110	69	110
336	R-336	110	69	139	161	110	110	69	110	139	69	69	69	110	69	69	69	69
337	R-337	179	110	139	139	139	110	69	69	69	69	0	69	69	0	0	0	0
338	R-338	294	277	271	289	264	264	304	294	277	248	294	309	289	248	289	240	294
339	R-339	179	240	240	230	195	240	240	230	230	161	179	195	230	179	230	220	161
340	R-340	110	69	69	69	0	110	69	110	110	69	69	69	110	69	69	110	69
341	R-341	389	397	389	389	417	374	408	393	383	403	391	401	383	406	416	425	403
342	R-342	161	110	0	69	110	69	69	110	110	0	110	69	110	0	69	69	69
343	R-343	371	381	381	383	399	369	387	395	376	366	381	376	366	364	378	364	378
344	R-344	69	110	0	110	179	195	208	230	208	139	110	110	161	139	139	139	139
