ID	NAME	COL-1	COL-2	COL-3	COL-4	COL-5	COL-6	COL-7	COL-8	COL-9	COL-10	COL-11	COL-12	COL-13	COL-14	COL-15	COL-16	COL-17	COL-18	COL-19	COL-20
28	ROW-28	72.32	46.55	86.94	65.98	46.06	6.42	71.19	80.96	46.17	70.59	35.18	57.77	30.43	3.90	13.99	30.37	12.12	75.14	97.38	41.29
29	ROW-29	99.96	97.67	11.00	31.63	36.53	45.56	30.38	86.99	15.47	23.30	26.13	58.90	51.87	86.75	39.08	94.18	67.91	67.63	65.88	55.81
30	ROW-30	1.52	99.05	32.07	88.86	79.48	88.45	97.87	52.52	88.49	98.26	88.32	48.89	53.20	88.47	42.20	6.46	22.72	88.71	17.86	53.41
31	ROW-31	28.36	28.36	88.67	34.79	67.98	34.80	28.53	28.43	35.07	28.47	34.96	28.56	20.39	34.88	67.38	60.05	78.49	89.35	28.52	28.39
32	ROW-32	69.44	69.31	2.30	2.13	47.60	53.89	69.83	69.59	7.05	69.72	73.70	69.82	75.22	69.95	78.71	17.62	18.43	10.86	69.39	69.58
33	ROW-33	59.99	59.87	13.60	90.66	53.79	90.66	60.18	59.90	90.46	59.87	90.14	59.83	96.55	89.99	82.44	98.06	28.58	60.41	60.24	59.88
34	ROW-34	93.97	31.34	18.65	31.26	76.02	31.13	10.14	52.10	31.16	31.21	31.31	31.25	43.53	40.76	21.46	80.03	2.27	4.66	83.36	57.64
35	ROW-35	40.07	22.51	8.78	25.96	90.20	26.03	54.06	3.07	25.97	2.66	25.87	1.63	77.08	25.98	44.90	81.48	10.86	87.08	92.39	89.93
36	ROW-36	85.36	24.93	13.32	77.35	33.76	8.68	84.20	41.55	18.48	30.66	2.36	83.58	72.18	34.45	57.33	91.92	31.37	97.99	11.97	47.02
37	ROW-37	39.52	17.22	96.75	39.38	34.77	17.53	16.44	96.62	9.15	65.53	37.87	62.76	52.02	69.05	8.16	17.91	51.26	54.93	85.52	80.78
38	ROW-38	88.39	45.55	34.33	86.70	28.34	86.65	12.57	15.54	87.24	36.71	87.21	55.61	83.44	87.23	47.57	9.49	22.63	12.83	14.20	80.79
39	ROW-39	37.62	10.26	20.87	43.65	76.22	43.56	37.52	37.68	43.53	87.15	43.73	37.74	88.35	43.57	13.12	49.86	42.24	52.71	37.57	37.75
40	ROW-40	36.31	36.40	76.53	37.96	18.72	35.82	36.16	36.19	98.97	36.25	6.07	36.20	16.59	32.47	6.17	31.79	38.12	45.16	36.36	36.36
41	ROW-41	6.67	95.79	89.14	10.93	52.28	52.17	34.89	18.57	79.38	21.68	12.86	87.63	31.76	53.11	61.51	25.74	87.12	27.46	86.91	57.93
42	ROW-42	71.27	39.28	65.99	43.31	98.56	43.29	71.51	71.76	43.34	29.30	43.34	71.42	14.37	43.37	31.29	26.28	72.57	38.34	71.68	71.93
43	ROW-43	76.07	16.41	25.94	27.05	98.13	93.93	53.80	9.49	75.82	48.54	73.14	4.02	82.59	79.90	14.24	34.65	3.42	15.98	74.47	75.08
44	ROW-44	70.32	70.61	49.79	70.49	87.35	70.67	48.22	53.60	70.46	70.27	70.49	70.68	68.53	58.75	74.13	99.54	43.07	68.34	70.34	70.34
45	ROW-45	99.29	14.47	53.75	49.11	72.30	44.24	83.42	30.19	21.15	95.20	34.75	66.90	97.22	2.91	77.38	2.63	48.25	64.66	66.86	21.92
46	ROW-46	26.87	26.90	83.30	26.84	25.65	27.03	84.36	63.44	26.84	26.91	27.06	26.95	4.19	40.94	43.21	0.99	27.89	3.91	26.94	26.96
47	ROW-47	70.55	15.83	86.01	22.56	67.87	99.25	51.59	71.85	7.51	67.70	63.60	98.49	9.44	54.08	69.93	0.63	39.89	40.17	88.33	10.93
48	ROW-48	39.18	13.92	20.06	14.55	80.01	42.77	11.26	71.75	98.53	12.52	70.92	73.47	69.08	66.14	54.46	80.72	41.26	57.09	9.74	59.60
49	ROW-49	61.12	84.44	93.59	75.36	55.34	32.34	65.39	96.75	79.28	5.80	37.52	41.99	66.59	3.90	76.73	57.29	8.37	52.52	27.57	89.03
50	ROW-50	28.68	28.62	45.62	30.52	78.59	57.24	28.77	28.66	68.83	28.71	7.20	28.65	65.47	31.83	3.13	30.68	19.73	68.79	28.73	28.68

