Total Times:	8
Total Samples:	10
Total Genes:	20
Time	0
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9
2	G-2	195.04	152.74	121.40	242.75	192.86	121.23	208.09	72.49	73.07	163.43
3	G-3	74.13	57.77	45.99	91.57	73.22	191.26	36.53	187.05	65.08	73.86
4	G-4	114.44	89.30	70.99	141.87	112.03	82.51	28.91	105.57	63.79	57.52
5	G-5	117.22	91.96	72.90	146.20	116.17	140.46	133.37	10.96	156.26	132.38
6	G-6	130.77	102.40	81.64	163.35	128.81	195.65	186.49	141.76	199.24	115.48
7	G-7	27.78	21.82	17.40	34.82	27.56	64.26	2.78	95.43	0.64	38.95
8	G-8	74.34	57.84	45.98	92.23	72.89	121.02	13.98	1.51	197.59	9.70
9	G-9	52.97	134.92	44.17	1.98	103.15	177.82	40.61	87.02	14.80	23.11
10	G-10	37.12	123.52	130.00	59.05	199.93	175.97	169.08	61.28	139.91	119.04
11	G-11	145.10	150.56	137.63	187.41	70.59	100.36	189.51	124.03	75.82	186.80
12	G-12	159.90	53.00	209.04	31.63	181.61	189.22	153.87	125.97	11.17	53.76
13	G-13	56.96	209.61	107.57	18.36	96.27	207.59	33.83	33.72	23.63	164.64
14	G-14	16.21	160.24	70.05	71.44	75.21	120.93	39.33	103.92	174.24	148.78
15	G-15	140.40	125.71	134.52	116.99	12.07	28.56	67.82	103.30	48.11	67.97
16	G-16	157.02	19.30	6.94	78.22	87.07	112.49	5.76	170.87	70.03	183.76
17	G-17	118.92	169.43	122.74	67.75	48.34	207.21	148.69	95.03	140.69	64.23
18	G-18	31.92	205.04	29.22	190.39	123.46	189.67	82.10	180.62	102.97	83.32
19	G-19	207.03	163.28	158.05	34.63	191.26	22.09	91.63	76.76	71.83	49.93
Time	7
ID	NAME	S-0	S-1	S-2	S-3	S-4	S-5	S-6	S-7	S-8	S-9
0	G-0	5.13	72.56	209.05	135.28	74.65	97.85	167.28	24.78	171.96	86.81
1	G-1	53.24	62.08	98.67	138.06	7.08	10.96	53.86	131.49	156.30	122.10
2	G-2	200.54	167.64	199.08	148.38	69.87	121.08	127.57	8.59	53.06	130.91
3	G-3	8.09	6.18	89.39	137.12	145.71	109.49	98.59	27.18	116.61	181.63
4	G-4	54.74	91.27	102.02	22.96	50.14	160.65	162.66	25.56	92.45	113.10
5	G-5	68.14	97.05	108.33	140.75	166.31	116.22	205.68	206.85	119.99	127.18
6	G-6	203.04	126.41	82.75	53.58	50.43	185.30	103.04	30.05	10.80	155.30
7	G-7	209.41	185.90	100.87	162.85	192.89	184.12	198.72	179.60	91.08	75.69
8	G-8	172.99	175.77	45.99	82.73	52.33	13.34	45.41	176.88	168.11	82.08
9	G-9	49.01	56.18	192.38	21.07	138.19	201.60	128.98	195.02	152.55	133.95
10	G-10	16.83	23.69	57.01	65.98	130.45	152.26	132.78	83.55	6.20	96.69
11	G-11	33.06	126.77	134.34	183.90	107.51	156.44	57.03	138.70	9.85	107.38
12	G-12	205.97	70.34	27.22	54.51	144.02	47.44	123.07	45.18	75.30	175.23
13	G-13	86.54	62.39	88.56	50.13	168.53	107.44	50.30	168.98	37.61	170.31
14	G-14	109.93	111.07	174.52	204.27	1.72	98.85	1.67	50.85	23.11	185.64
15	G-15	124.03	83.66	0.43	198.96	200.84	92.18	85.65	137.58	116.82	98.02
16	G-16	40.03	79.36	30.54	180.25	35.36	117.75	153.67	89.99	34.39	145.99
17	G-17	123.69	19.43	79.53	83.62	16.45	83.86	42.27	26.25	193.45	56.00
18	G-18	113.74	180.98	37.26	173.45	189.91	202.85	153.28	79.91	99.71	95.10
19	G-19	38.07	86.40	87.68	97.46	88.39	191.97	68.08	74.64	179.12	116.58

